ASIN,コード,タイトル,メーカー、ブランド,定価,新品価格,新品安値ギャップ,新品数,中古最安値,中古安値ギャップ,中古数,在庫,ランキング,レビュー数,発売日
"B001MBV3ES","4956027124839","ブランディッシュ ダークレヴナント","日本ファルコム","5,184","2,810","8","15","1,174","0","28","○","8,651","46","2009/03/19"
"B001YQGR1A","4956027124853","イース I & II Chronicles","日本ファルコム、￥ 601","5,184","3,098","1","12","1,340","10","24","○","5,802","75","2009/07/16"
"B001YQGR1U","4956027124860","イース 7(通常版)","日本ファルコム","6,264","3,588","1","14","1,430","10","40","○","6,519","122","2009/09/17"
"B002BH3J0I","4956027124907","イース 7(限定版: ドラマCD同梱)","日本ファルコム、￥ 962","8,208","6,770","0","9","1,895","4","19","○","16,374","7","2009/09/17"
"B002SNA5IY","4956027124921","ぐるみん スーパープライス","日本ファルコム、￥ 1,028","3,024","2,409","741","3","1,950","121","6","○","9,982","11","2009/12/10"
"B0047Y0VKO","4956027124938","ヴァンテージマスターポータブル スーパープライス","日本ファルコム","3,024","1,900","100","15","778","1","12","○","25,844","","2010/12/16"
"B0047Y0VIG","4956027124945","Zwei!! スーパープライス","日本ファルコム","3,024","1,980","0","12","1,345","34","8","○","21,347","","2010/12/16"
"B0047Y0VJK","4956027124952","ブランディッシュ~ダークレヴナント~ スーパープライス","日本ファルコム","3,024","2,220","10","5","1,591","66","4","○","8,139","3","2010/12/16"
"B002SNA5J8","4956027124969","英雄伝説 空の軌跡 スーパープライスセット(空の軌跡オリジナルポストカード16枚フルセット同梱)","日本ファルコム、￥ 3,055","","15,781","1","5","5,090","4","21","×","12,222","37","2009/12/10"
"B002ZJXY0C","4956027124990","イース -フェルガナの誓い-(通常版)","日本ファルコム、￥ 647","5,184","2,327","1","22","1,340","110","33","○","8,090","39","2010/04/22"
"B00322PG34","4956027125089","イース I & II・SEVEN セット","日本ファルコム","8,208","6,727","1","6","4,084","1","6","○","18,518","2","2010/03/18"
"B00322PG2U","4956027125096","イース -フェルガナの誓い- (限定ドラマCD同梱版)","日本ファルコム","7,128","3,836","0","16","1,470","4","13","○","3,253","9","2010/04/22"
"B003CF9RIQ","4956027125102","イースvs.空の軌跡 オルタナティブ・サーガ(通常版)","日本ファルコム","6,264","2,250","0","21","830","15","50","○","9,315","38","2010/07/29"
"B003CF9RJ0","4956027125119","イースvs.空の軌跡 オルタナティブ・サーガ (限定版:ドラマCD同梱)","日本ファルコム、￥ 135","8,208","5,970","0","3","755","365","24","○","6,884","18","2010/07/29"
"B003ULN9N6","4956027125164","英雄伝説 零の軌跡 (通常版)","日本ファルコム","6,264","3,350","187","13","1,820","0","59","○","2,825","233","2010/09/30"
"B003ULN9NG","4956027125171","英雄伝説 零の軌跡 (限定ドラマCD同梱版)","日本ファルコム","8,650","8,599","0","11","2,315","0","24","○","10,058","9","2010/09/30"
"B003Y8YW5O","4956027125195","英雄伝説 空の軌跡FC ベストセレクション","日本ファルコム、￥ 388","2,800","3,140","3,249","2","1,729","0","6","○","21,233","12","2010/09/15"
"B0047Y0VL8","4956027125218","英雄伝説 空の軌跡FC PSP the Best","日本ファルコム","3,024","2,327","793","12","1,598","1","35","○","3,994","42","2010/12/16"
"B0047Y0VMC","4956027125225","英雄伝説 空の軌跡SC PSP the Best","日本ファルコム","3,888","2,962","1","20","1,715","15","37","○","3,554","26","2010/12/16"
"B0047Y0VNG","4956027125232","英雄伝説 空の軌跡the 3rd PSP the Best","日本ファルコム、￥ 661","3,024","2,080","0","19","1,290","4","26","○","1,950","27","2010/12/16"
"B004KNYDFQ","4956027125348","イース スーパープライスセット","日本ファルコム","9,504","9,480","5,955","3","5,750","10","13","○","15,323","3","2011/03/26"
"B0050311GY","4956027125362","Ys I&II Chronicles PSP the Best","日本ファルコム、￥ 905","3,024","2,220","34","13","1,840","69","11","○","8,792","2","2011/07/14"
"B0050311J6","4956027125379","Ys SEVEN PSP the Best","日本ファルコム","3,024","2,265","8","8","1,340","240","26","○","1,480","18","2011/07/14"
"B0050311Q4","4956027125386","イース -フェルガナの誓い- スーパープライス","日本ファルコム、￥ 648","3,024","2,280","20","16","1,439","1","10","○","3,691","3","2011/07/14"
"B0050311NM","4956027125393","イースvs.空の軌跡 オルタナティブ・サーガ PSP the Best","日本ファルコム、￥ 368","3,024","1,728","1","16","1,084","1","17","○","15,276","","2011/07/14"
"B004TJ4M1Q","4956027125409","英雄伝説 碧の軌跡(通常版)","日本ファルコム","6,264","879","1","43","535","19","70","○","1,004","143","2011/09/29"
"B004TJ4LQ2","4956027125416","英雄伝説 碧の軌跡(完全予約限定版:ねんどろいどぷち「ティオ」「エリィ」、オリジナルドラマCD同梱)","日本ファルコム、￥ 950","9,504","3,440","20","29","1,807","0","28","○","2,569","40","2011/09/29"
"B004TJ4LUI","4956027125423","英雄伝説 碧の軌跡(ドラマCD同梱版:オリジナルドラマCD同梱)","日本ファルコム","8,208","2,214","16","28","1,201","11","21","○","7,109","11","2011/09/29"
"B005BP98IO","4956027125515","イースvs.空の軌跡 オルタナティブ・サーガ(イースvs.空の軌跡 オルタナティブ・サーガサントラCDセット同梱版)","日本ファルコム","","19,800","","1","19,800","","","×","20,134","4","2011/07/14"
"B0063AEDEU","4956027125522","日本ゲーム大賞W受賞記念 零&碧の軌跡ゴールドセット","日本ファルコム","12,528","5,920","30","8","5,022","443","6","○","11,059","3","2011/12/15"
"B007RV0HEE","4956027125607","那由多の軌跡(通常版)","日本ファルコム、￥ 95","6,264","1,400","0","33","636","10","68","○","1,988","98","2012/07/26"
"B007RV0HWQ","4956027125614","那由多の軌跡(限定版:那由多の軌跡 ドラマCD・ポムのパスケース同梱)","日本ファルコム","8,208","2,443","0","28","1,242","88","22","○","5,887","13","2012/07/26"
"B009Z5XJIQ","4956027125713","英雄伝説 碧の軌跡 新章記念 特価版","日本ファルコム","4,104","979","1","16","979","1","6","○","3,395","","2012/12/13"
"B00APU3ARK","4956027125744","英雄伝説 零の軌跡 PSP the Best","日本ファルコム","2,940","2,345","544","14","2,345","399","4","○","2,054","3","2013/03/07"
"B00EOM3AYS","4956027125980","英雄伝説 碧の軌跡 PSP the Best","日本ファルコム","2,940","2,099","826","8","1,780","319","1","○","14,147","","2013/10/10"
"B00HQ73OEY","4956027126116","那由多の軌跡 PSP the Best","日本ファルコム、￥ 1,120","2,940","2,418","192","7","2,418","192","","○","15,866","","2014/03/20"
"B000IBDFJY","4974365900236","己のダンジョン","セガ、￥ 1","5,184","469","7","18","419","0","24","○","23,349","3","2006/11/30"
"B0012G88LY","4974365900335","ファンタシースターポータブル","セガ","5,184","988","0","20","200","10","226","○","9,769","190","2008/07/31"
"B001CFBSEY","4974365900410","ガーネット クロニクル ~紅輝の魔石~","セガ","5,184","1,039","1","14","400","29","26","○","18,315","24","2008/10/23"
"B002XUMAMQ","4974365900465","ファンタシースターポータブル2 (特典なし)","セガ","5,184","980","0","21","340","0","103","○","4,201","149","2009/12/03"
"B002J9HX46","4974365900496","ファンタシースターポータブル PSP the Best (映像UMD「PSUクロニクル」同梱)","セガ、￥ 1","1,944","1,277","0","8","341","10","22","○","13,359","9","2009/10/08"
"B002MRR9Z8","4974365900502","戦場のヴァルキュリア 2 ガリア王立士官学校","セガ、￥ 1","6,264","1,671","0","31","390","60","61","○","1,492","119","2010/01/21"
"B003IKOIHK","4974365900540","クロヒョウ 龍が如く新章","セガ","6,458","2,247","0","14","768","2","52","○","2,760","132","2010/09/22"
"B0040V4PWY","4974365900618","ファンタシースターポータブル2インフィニティ","セガ","5,184","680","20","20","602","0","60","○","365","219","2011/02/24"
"B003ULN9JA","4974365900625","ファンタシースターポータブル2 PSP the Best","セガ","2,571","849","0","15","460","3","19","○","11,647","10","2010/08/26"
"B003ULN9J0","4974365900632","クロヒョウ 龍が如く新章 名越稔洋プロデュース プレミアムBOX","セガ、￥ 852","9,698","6,500","970","8","1,721","0","14","○","16,308","9","2010/09/22"
"B003YDYZPQ","4974365900649","シャイニング・ハーツ","セガ、￥ 30","6,458","1,498","0","15","413","11","69","○","1,365","108","2010/12/16"
"B00451A67M","4974365900656","SEGA THE BEST 戦場のヴァルキュリア2 ガリア王立士官学校","セガ、￥ 202","3,024","1,940","24","13","749","1","19","○","15,601","12","2010/12/09"
