ASIN,コード,タイトル,メーカー、ブランド,定価,新品価格,新品安値ギャップ,新品数,中古最安値,中古安値ギャップ,中古数,在庫,ランキング,レビュー数,発売日
"B0044SA70M","0014633098907","Kingdoms of Amalur: Reckoning(輸入版)","Electronic Arts(World)、￥ 209","1,940","1,940","10","13","1,940","10","2","○","21,089","7","2012/02/07"
"B004I8YDUS","0014633098983","Rango　The Video Game(XBOX360 輸入版　北米）","Paramount Digital","2,190","2,190","790","7","2,190","790","1","○","36,753","",""
"B000F1UK3Q","0014633151602","Superman Returns (輸入版)","Electronic Arts(World)","8,100","6,930","1","10","6,930","0","4","○","33,718","3","2006/11/20"
"B000HWRHX4","0014633152517","【輸入版：アジア】FIFA Soccer 07","Electronic Arts(World)","8,100","4,260","1","5","341","10","7","○","41,871","4","2006/11/02"
"B000RI17GG","0014633155518","FIFA 08","Electronic Arts","4,121","4,461","","","242","8","13","○","44,814","",""
"B0017DVTHW","0014633155587","SKATE (輸入版 アジア)","Electronic Arts","3,426","3,526","6,957","3","510","0","8","○","38,763","",""
"B000WS97UO","0014633155617","FIFA Street 3 Xbox 360【海外北米版】","","3,980","3,980","174","6","1,600","400","3","○","49,342","",""
"B000P0QJD2","0014633155686","Madden NFL 08","Electronic Arts","2,466","2,816","1","5","341","309","4","○","53,081","",""
"B000WSE2WM","0014633155761","Battlefield: Bad Company (輸入版  アジア)","Electronic Arts","6,844","7,194","1","5","3,349","1","3","○","55,908","",""
"B001A7010G","0014633155792","UEFA Euro 2008 (輸入版  アジア)","Electronic Arts","6,914","5,176","623","3","650","85","6","○","8,416","2",""
"B001AZ7RK0","0014633155815","FIFA Soccer 09","Electronic Arts","2,180","2,330","1,185","4","341","10","7","○","41,934","",""
"B001989B4S","0014633155839","Fight Night: Round 4 (輸入版 アジア)","EA Sports","1,990","1,990","0","8","710","295","9","○","32,813","",""
"B001GGM2M6","0014633155907","Skate 2 (Xbox 360) 北米版","Electronic Arts","9,800","9,787","1","4","700","285","6","○","35,842","",""
"B00164TDUC","0014633156010","Tiger Woods PGA Tour 09 (輸入版 アジア)","Electronic Arts","4,295","4,645","1","7","1,968","1","3","○","48,933","",""
"B000MAFXUA","0014633156201","【輸入版：アジア】Def Jam Icon","Electronic Arts(World)","9,252","9,602","1","5","260","275","4","○","27,256","","2007/03/06"
"B000MF51JS","0014633156614","【輸入版：アジア】UEFA Championship League 2006-2007","Electronic Arts(World)","8,100","1,980","294","3","341","119","4","○","26,271","7","2007/03/20"
"B001QXNBJM","0014633156713","Battlefield Bad Company 2(輸入版:北米・アジア)","Electronic Arts(World)","6,160","1,839","1","9","1,833","0","2","○","37,820","","2010/03/02"
"B002BCOC3G","0014633157109","NBA Live 10 (輸入版 アジア)","EA Sports","5,200","5,550","6,349","8","1,056","79","3","○","42,401","",""
"B002BCXALQ","0014633157116","(360)FIFA SOCCER 2010(輸入版：アジア版)","ELECTORONIC ARTS","2,980","3,320","109","6","402","0","5","○","43,567","",""
"B001TOQ8J8","0014633157130","Army of Two: The 40th Day(輸入版:アジア)","Electronic Arts(World)","7,979","2,029","11","9","2,028","1","2","○","27,254","2","2010/01/12"
"B000QCU9I0","0014633157291","Mercenaries 2: World in Flames(輸入版)","Electronic Arts(World)","10,181","10,478","1","6","1,301","198","5","○","34,337","","2008/08/31"
"B003R3JNN2","0014633158496","Harry Potter and ｔhe Deathly Hallows Part1(輸入版)","Electronic Arts(World)","","2,730","2,700","6","2,200","530","1","×","16,890","","2010/11/16"
"B0012FJX96","0014633159363","Battlefield: Bad Company Gold Edition (輸入版  アジア)","Electronic Arts","11,820","12,150","9","6","1,350","1,980","2","○","51,914","",""
"B001IK1BJ0","0014633159806","Dragon Age: Origins(輸入版:アジア)","Electronic Arts(World)","7,979","2,690","1,402","6","780","70","10","○","26,753","4","2009/11/03"
"B001TORSII","0014633159820","Mass Effect 2(輸入版:アジア)","Electronic Arts(World)、￥ 168","7,979","3,179","1","8","839","71","6","○","20,190","6","2010/01/26"
"B000GPXS5I","0014633166286","【輸入版：アジア】Need For Speed: Carbon","Electronic Arts(World)","","20,559","1","8","2,095","735","5","×","49,153","","2006/11/02"
"B002VL2HA2","0014633168808","Mass Effect 2 Collector's Edition (輸入版)","Electronic Arts(World)","33,946","27,876","0","6","5,647","9,070","3","○","52,830","","2010/01/26"
"B002HP0R90","0014633168839","Dragon Age: Origins Collector's Edition (輸入版)","Electronic Arts(World)","47,499","47,839","49,564","2","1,360","4","2","○","53,889","","2009/11/03"
"B001UU1WTC","0014633190243","MADDEN NFL 10(輸入版:北米・アジア)","Electronic Arts(World)","7,979","1,897","83","13","341","25","7","○","7,680","2","2009/08/14"
"B001R3UX4M","0014633190298","Tiger Woods PGA Tour 10 (輸入版 アジア)","Electronic Arts","3,135","3,485","1","9","691","69","7","○","24,181","",""
"B001AZ7RJ6","0014633190410","Command & Conquer Red Alert 3 （XBOX360 輸入版　北米）日本版XBOX360動作可","Electronic Arts","3,330","3,330","0","9","2,045","55","5","○","16,172","",""
"B00149ILCK","0014633191004","The Saboteur(輸入版:アジア)","Electronic Arts(World)、￥ 1,139","8,207","4,630","954","6","2,365","275","2","○","16,825","9","2009/12/08"
"B001ZE3G7O","0014633191776","Rock Band Classic Rock Track Pack (Xbox 360) 北米版","MTV Games","5,137","5,487","1","4","948","1,182","2","○","","",""
"B002BSA1MQ","0014633192070","Crysis 2( 輸入版 )","Electronic Arts(World)","5,460","2,134","1","17","500","1,050","8","○","20,372","2","2011/03/22"
"B001TOMQTY","0014633192193","Need for Speed: Shift (輸入版 アジア)","Electronic Arts","2,190","2,189","0","9","1,187","93","4","○","46,876","7",""
"B001NX4DUQ","0014633192223","Dante's Inferno (XBOX360 輸入版　北米）","Electronic Arts","2,190","2,189","0","9","1,690","499","2","○","36,385","",""
"B0050SY9WC","0014633192315","Syndicate(輸入版)","Electronic Arts(World)","2,050","2,030","10","23","1,631","319","3","○","8,462","9","2012/02/21"
"B002BS61X4","0014633192858","EA Sports MMA(Mixed Martial Arts)(輸入版:北米・アジア)","Electronic Arts(World)","6,160","1,319","1","14","760","559","1","○","35,996","3","2010/10/19"
"B003KZOXZ0","0014633193220","FIFA Soccer 11(輸入版:北米・アジア)","Electronic Arts(World)","3,649","3,664","335","7","515","2,025","5","○","27,295","3","2010/09/28"
"B002I0JB6E","0014633193572","Madden NFL 11(輸入版:アジア)","Electronic Arts(World)","5,740","2,817","121","6","341","2,476","2","○","16,386","","2010/08/10"
"B00386VN0E","0014633193633","Tiger Woods PGA Tour 11(輸入版:北米・アジア)","Electronic Arts(World)","5,880","3,008","213","7","3,007","1","2","○","42,058","","2010/06/08"
"B0039RFIQM","0014633193831","Green Day: Rock Band (輸入版)","MTV Games","2,790","2,790","0","8","1,800","990","3","○","27,735","",""
"B002M2N9OI","0014633193923","Rock Band Metal Track Pack (Xbox 360) 北米版","MTV Games","2,403","2,750","3","6","1,250","1,500","1","○","53,874","",""
"B0032LTVWW","0014633193992","Dragon Age Origins Awakening (輸入版:北米・アジア)","Electronic Arts(World)","5,040","1,786","1,694","7","930","670","2","○","32,766","","2010/03/16"
"B002WEZ1GA","0014633194111","2010 FIFA World Cup South Africa(輸入版:北米・アジア)","Electronic Arts(World)","5,880","2,030","95","8","505","0","3","○","39,864","","2010/04/27"
"B003M986XO","0014633194180","MySims Sky Heroes (XBOX360 輸入版　北米）","Electronic Arts","1,990","1,990","0","8","1,594","396","1","○","40,725","",""
"B00488PZ1E","0014633194852","Shift 2 Unleashed: Need for Speed (輸入版)","Electronic Arts(World)","3,179","2,969","361","9","2,450","519","1","○","7,950","6","2011/03/31"
"B004CVQUGQ","0014633194944","Fight Night Champion(輸入版)","Electronic Arts(World)","2,490","2,479","11","11","2,479","10","1","○","32,101","","2011/03/01"
"B003E4CZDY","0014633195170","Green Day: Rock Band PLUS (輸入版)","Electronic Arts","13,633","3,130","10,843","3","2,095","375","3","○","51,597","",""
"B003RS8HG6","0014633195217","Rock Band 3 (輸入版:北米・アジア) ※ソフト単体、コントローラ必須","MTV Games(World)、￥ 698","8,400","3,080","10","9","3,080","10","2","○","25,554","2","2010/10/26"
"B003UFAZKW","0014633195293","Dragon Age 2(通常版)(輸入版)","Electronic Arts(World)","22,000","16,990","1","7","4,920","12,070","1","○","28,681","2","2011/03/08"
"B003VWGBC0","0014633195507","Battlefield Bad Company 2 Ultimate Edition(輸入版:北米・アジア)","Electronic Arts(World)","7,000","2,630","991","11","1,710","920","1","○","47,535","","2010/08/31"
